departamento,municipio,distrito,tipo_zona,nombre_zona,direccion,punto_referencia
Cuscatlán,Cuscatlán Sur,Tenancingo,,,,
Cabañas,Cabañas Este,Sensuntepeque,,,,
Cabañas,Cabañas Este,Victoria,,,,
Cabañas,Cabañas Este,Dolores,,,,
Cabañas,Cabañas Este,Guacotecti,,,,
Cabañas,Cabañas Este,San Isidro,,,,
Cabañas,Cabañas Oeste,Ilobasco,,,,
Cabañas,Cabañas Oeste,Tejutepeque,,,,
Cabañas,Cabañas Oeste,Jutiapa,,,,
Cabañas,Cabañas Oeste,Cinquera,,,,
La Paz,La Paz Oeste,Cuyultitán,,,,
La Paz,La Paz Oeste,Olocuilta,,,,
La Paz,La Paz Oeste,San Juan Talpa,,,,
La Paz,La Paz Oeste,San Luis Talpa,,,,
La Paz,La Paz Oeste,San Pedro Masahuat,,,,
La Paz,La Paz Oeste,Tapalhuaca,,,,
La Paz,La Paz Oeste,San Francisco Chinameca,,,,
La Paz,La Paz Centro,El Rosario,,,,
La Paz,La Paz Centro,Jerusalén,,,,
La Paz,La Paz Centro,Mercedes La Ceiba,,,,
La Paz,La Paz Centro,Paraíso de Osorio,,,,
La Paz,La Paz Centro,San Antonio Masahuat,,,,
La Paz,La Paz Centro,San Emigdio,,,,
La Paz,La Paz Centro,San Juan Tepezontes,,,,
La Paz,La Paz Centro,San Luis La Herradura,,,,
La Paz,La Paz Centro,San Miguel Tepezontes,,,,
La Paz,La Paz Centro,San Pedro Nonualco,,,,
La Paz,La Paz Centro,Santa María Ostuma,,,,
La Paz,La Paz Centro,Santiago Nonualco,,,,
La Paz,La Paz Este,San Juan Nonualco,,,,
La Paz,La Paz Este,San Rafael Obrajuelo,,,,
La Paz,La Paz Este,Zacatecoluca,,,,
La Unión,La Unión Norte,Anamorós,,,,
La Unión,La Unión Norte,Bolívar,,,,
La Unión,La Unión Norte,Concepción de Oriente,,,,
La Unión,La Unión Norte,El Sauce,,,,
La Unión,La Unión Norte,Lislique,,,,
La Unión,La Unión Norte,Nueva Esparta,,,,
La Unión,La Unión Norte,Pasaquina,,,,
La Unión,La Unión Norte,Polorós,,,,
La Unión,La Unión Norte,San José La Fuente,,,,
La Unión,La Unión Norte,Santa Rosa de Lima,,,,
La Unión,La Unión Sur,Conchagua,,,,
La Unión,La Unión Sur,El Carmen,,,,
La Unión,La Unión Sur,Intipucá,,,,
La Unión,La Unión Sur,La Unión,,,,
La Unión,La Unión Sur,Meanguera del Golfo,,,,
La Unión,La Unión Sur,San Alejo,,,,
La Unión,La Unión Sur,Yayantique,,,,
La Unión,La Unión Sur,Yucuaiquín,,,,
Usulután,Usulután Norte,Santiago de María,,,,
Usulután,Usulután Norte,Alegría,,,,
Usulután,Usulután Norte,Berlín,,,,
Usulután,Usulután Norte,Mercedes Umaña,,,,
Usulután,Usulután Norte,Jucuapa,,,,
Usulután,Usulután Norte,El Triunfo,,,,
Usulután,Usulután Norte,Estanzuelas,,,,
Usulután,Usulután Norte,San Buenaventura,,,,
Usulután,Usulután Norte,Nueva Granada,,,,
Usulután,Usulután Este,Usulután,,,,
Usulután,Usulután Este,Jucuarán,,,,
Usulután,Usulután Este,San Dionisio,,,,
Usulután,Usulután Este,Concepción Batres,,,,
Usulután,Usulután Este,Santa María,,,,
Usulután,Usulután Este,Ozatlán,,,,
Usulután,Usulután Este,Tecapán,,,,
Usulután,Usulután Este,Santa Elena,,,,
Usulután,Usulután Este,California,,,,
Usulután,Usulután Este,Ereguayquín,,,,
Usulután,Usulután Oeste,Jiquilisco,,,,
Usulután,Usulután Oeste,Puerto El Triunfo,,,,
Usulután,Usulután Oeste,San Agustín,,,,
Usulután,Usulután Oeste,San Francisco Javier,,,,
Sonsonate,Sonsonate Norte,Juayúa,,,,
Sonsonate,Sonsonate Norte,Nahuizalco,,,,
Sonsonate,Sonsonate Norte,Salcoatitán,,,,
Sonsonate,Sonsonate Norte,Santa Catarina Masahuat,,,,
Sonsonate,Sonsonate Centro,Sonsonate,,,,
Sonsonate,Sonsonate Centro,Sonzacate,,,,
Sonsonate,Sonsonate Centro,Nahulingo,,,,
Sonsonate,Sonsonate Centro,San Antonio del Monte,,,,
Sonsonate,Sonsonate Centro,Santo Domingo de Guzmán,,,,
Sonsonate,Sonsonate Este,Izalco,,,,
Sonsonate,Sonsonate Este,Armenia,,,,
Sonsonate,Sonsonate Este,Caluco,,,,
Sonsonate,Sonsonate Este,San Julián,,,,
Sonsonate,Sonsonate Este,Cuisnahuat,,,,
Sonsonate,Sonsonate Este,Santa Isabel Ishuatán,,,,
Sonsonate,Sonsonate Oeste,Acajutla,,,,
Santa Ana,Santa Ana Norte,Masahuat,,,,
Santa Ana,Santa Ana Norte,Metapán,,,,
Santa Ana,Santa Ana Norte,Santa Rosa Guachipilín,,,,
Santa Ana,Santa Ana Norte,Texistepeque,,,,
Santa Ana,Santa Ana Centro,Santa Ana,,,,
Santa Ana,Santa Ana Este,Coatepeque,,,,
Santa Ana,Santa Ana Este,El Congo,,,,
Santa Ana,Santa Ana Oeste,Candelaria de la Frontera,,,,
Santa Ana,Santa Ana Oeste,Chalchuapa,,,,
Santa Ana,Santa Ana Oeste,El Porvenir,,,,
Santa Ana,Santa Ana Oeste,San Antonio Pajonal,,,,
Santa Ana,Santa Ana Oeste,San Sebastián Salitrillo,,,,
Santa Ana,Santa Ana Oeste,Santiago de La Frontera,,,,
San Vicente,San Vicente Norte,Apastepeque,,,,
San Vicente,San Vicente Norte,Santa Clara,,,,
San Vicente,San Vicente Norte,San Ildefonso,,,,
San Vicente,San Vicente Norte,San Esteban Catarina,,,,
San Vicente,San Vicente Norte,San Sebastián,,,,
San Vicente,San Vicente Norte,San Lorenzo,,,,
San Vicente,San Vicente Norte,Santo Domingo,,,,
San Vicente,San Vicente Sur,San Vicente,,,,
San Vicente,San Vicente Sur,Guadalupe,,,,
San Vicente,San Vicente Sur,Verapaz,,,,
San Vicente,San Vicente Sur,Tepetitán,,,,
San Vicente,San Vicente Sur,Tecoluca,,,,
San Vicente,San Vicente Sur,San Cayetano Istepeque,,,,
San Miguel,San Miguel Norte,Ciudad Barrios,,,,
San Miguel,San Miguel Norte,Sesori,,,,
San Miguel,San Miguel Norte,Nuevo Edén de San Juan,,,,
San Miguel,San Miguel Norte,San Gerardo,,,,
San Miguel,San Miguel Norte,San Luis de La Reina,,,,
San Miguel,San Miguel Norte,Carolina,,,,
San Miguel,San Miguel Norte,San Antonio del Mosco,,,,
San Miguel,San Miguel Norte,Chapeltique,,,,
San Miguel,San Miguel Centro,San Miguel,,,,
San Miguel,San Miguel Centro,Comacarán,,,,
San Miguel,San Miguel Centro,Uluazapa,,,,
San Miguel,San Miguel Centro,Moncagua,,,,
San Miguel,San Miguel Centro,Quelepa,,,,
San Miguel,San Miguel Centro,Chirilagua,,,,
San Miguel,San Miguel Oeste,Chinameca,,,,
San Miguel,San Miguel Oeste,Nueva Guadalupe,,,,
San Miguel,San Miguel Oeste,Lolotique,,,,
San Miguel,San Miguel Oeste,San Jorge,,,,
San Miguel,San Miguel Oeste,San Rafael Oriente,,,,
San Miguel,San Miguel Oeste,El Tránsito,,,,
Morazán,Morazán Norte,Arambala,,,,
Morazán,Morazán Norte,Cacaopera,,,,
Morazán,Morazán Norte,Corinto,,,,
Morazán,Morazán Norte,El Rosario,,,,
Morazán,Morazán Norte,Joateca,,,,
Morazán,Morazán Norte,Jocoaitique,,,,
Morazán,Morazán Norte,Meanguera,,,,
Morazán,Morazán Norte,Perquín,,,,
Morazán,Morazán Norte,San Fernando,,,,
Morazán,Morazán Norte,San Isidro,,,,
Morazán,Morazán Norte,Torola,,,,
Morazán,Morazán Sur,Chilanga,,,,
Morazán,Morazán Sur,Delicias de Concepción,,,,
Morazán,Morazán Sur,El Divisadero,,,,
Morazán,Morazán Sur,Gualococti,,,,
Morazán,Morazán Sur,Guatajiagua,,,,
Morazán,Morazán Sur,Jocoro,,,,
Morazán,Morazán Sur,Lolotiquillo,,,,
Morazán,Morazán Sur,Osicala,,,,
Morazán,Morazán Sur,San Carlos,,,,
Morazán,Morazán Sur,San Francisco Gotera,,,,
Morazán,Morazán Sur,San Simón,,,,
Morazán,Morazán Sur,Sensembra,,,,
Morazán,Morazán Sur,Sociedad,,,,
Morazán,Morazán Sur,Yamabal,,,,
Morazán,Morazán Sur,Yoloaiquín,,,,
